,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
하계,0.735,0.491,2,-6.915,1,0.0339,0.58,0.0,0.127,0.547,124.962,3oT4J6PuaR3XIPllBdLYEA,154139
HANABI,0.638,0.766,1,-5.541,1,0.0268,0.157,0.0,0.124,0.595,112.005,0AU7xhipAm9Saq0k8A9Iua,342773
ロビンソン,0.623,0.787,6,-4.339,0,0.0274,0.428,0.0,0.16,0.585,111.181,0sVnyL71jTOuMt9TZ59bws,260133
奏(かなで),0.519,0.666,10,-6.163,1,0.0262,0.553,0.000169,0.0948,0.461,149.839,5RbMlPFL4gVyEHW2lEOuzG,328627
ハッピーエンド,0.378,0.654,6,-3.327,0,0.0359,0.0379,1.93e-06,0.141,0.334,77.907,4GqO80eGXA542oTvlYv4LS,314280
幸せ,0.494,0.566,11,-2.738,0,0.0325,0.019,0.0,0.0691,0.474,74.036,1YVuXOCjN1GkGYqZ8RCcF3,397280
わたがし,0.694,0.772,9,-3.549,0,0.0345,0.0446,0.0,0.0799,0.631,124.061,23NPPhiLqHywaExkaEey8l,259867
僕の名前を,0.446,0.57,1,-3.636,1,0.027,0.00438,0.0,0.082,0.445,79.955,4q5eB08azjHq4g1vEJwOMS,292627
僕は君の事が好きだけど君は僕を別に好きじゃないみたい,0.582,0.774,1,-3.931,1,0.031,0.00758,0.0,0.0722,0.704,101.101,1WutVejYvP7220sofj3xId,286760
リッツパーティー,0.557,0.874,11,-3.46,1,0.0529,0.00208,0.0,0.0885,0.443,120.003,1FDrCBlNru2OrVXePw1BFQ,196800
ささえる人の歌,0.499,0.605,0,-4.334,1,0.0315,0.000825,0.0,0.102,0.589,155.888,2zCsfWyOl4r67R7taNYfZs,252413
手紙,0.458,0.54,7,-3.372,1,0.0263,0.0186,0.0,0.0991,0.313,145.827,1I5JRnPFl38a9APWaAshoY,270507
チェックのワンピース,0.603,0.564,8,-5.655,1,0.0277,0.0398,0.0,0.316,0.36,79.072,3TpD7kfsRSbXYzYvug4yey,282240
エンディング,0.435,0.73,4,-4.117,0,0.0301,0.00979,1.5e-06,0.0637,0.484,149.073,77HM8byKvOHW8meTjkOqJp,321213
助演女優症,0.411,0.773,6,-4.088,0,0.0506,0.104,0.0,0.113,0.523,165.691,41tjSpez6sFS7B0jf6HOje,303880
だいじなこと,0.602,0.623,6,-5.232,1,0.0316,0.442,0.0,0.0927,0.357,144.063,4IMlklJhYrN1zEgOMrTyKq,256747
パレード,0.569,0.833,9,-3.477,1,0.0384,0.00164,0.0,0.0741,0.489,122.065,598iecjKpZdoTiE4RjZApO,244253
アップルパイ,0.664,0.709,0,-4.014,1,0.0327,0.00424,0.0,0.0315,0.584,122.963,4xNvQ8WlKXs8k8z5acCSoQ,160827
日曜日,0.407,0.591,0,-3.783,1,0.0399,0.0498,0.0,0.403,0.612,200.308,1LDxe7AgJ7DRYdV012EmyR,224520
花束,0.519,0.713,2,-3.612,1,0.0324,0.0178,0.0,0.353,0.505,159.963,3QIAwtEEDOrv0g5NKCGrXZ,286053
SISTER,0.572,0.756,3,-3.155,0,0.0317,0.0272,0.0,0.102,0.507,133.815,1ZmiUiQn7Q2qEKLlIznoXZ,246880
青い春,0.577,0.896,11,-3.6,0,0.0519,0.125,0.0,0.297,0.342,129.986,2SiI8d1ogRxmN4oQw2kAsH,236627
聖者の行進,0.575,0.941,1,-1.728,0,0.0693,0.00283,0.0,0.0595,0.64,131.012,3gG6IUWITCXgjOKgGnd7hb,225693
こわいはなし,0.675,0.628,0,-4.104,1,0.0311,0.0186,0.0,0.152,0.706,123.998,3Wep4mfwlBTqXExq8WGDHD,234680
東京の夕焼け,0.655,0.778,0,-3.621,1,0.0321,0.00871,0.0,0.118,0.452,116.96,14OpC1UV4xQoCZq3iEgtuV,224840
頬を濡らす雨のように,0.458,0.882,1,-3.206,1,0.04,0.00471,0.0,0.0831,0.278,167.993,319VtHh8vtMRqSoZigWOtT,267533
恋,0.446,0.72,9,-2.9,1,0.0329,0.103,0.0,0.307,0.524,152.075,7f9DsQEsIoeTwKxV6shsom,253307
fish,0.454,0.583,10,-2.374,1,0.0327,0.00159,0.0,0.0941,0.528,143.879,77bEq8i8y3GgeWdnCm9PGr,325213
思い出せなくなるその日まで,0.458,0.746,9,-3.643,0,0.0331,0.0117,0.0,0.247,0.543,147.914,5TLXuBFx2emPcQ5grqSz90,270747
繋いだ手から,0.394,0.797,9,-2.337,1,0.0571,0.125,0.0,0.106,0.655,204.426,3I51KkjhqwuXLcslSz0Q02,282707
スーパースターになったら,0.582,0.86,6,-3.112,0,0.0469,0.000878,0.0,0.0729,0.517,131.936,1kteXWp6znMiAfoHPQBJp9,264213
はなびら,0.562,0.779,2,-3.381,1,0.0362,0.00236,0.0,0.11,0.471,105.982,1FcM2ArJbO6w7iHvGoMgI7,278747
空も飛べるはず,0.593,0.81,0,-4.389,1,0.0278,0.0424,2.83e-06,0.119,0.67,114.936,3P2aSkjcbUYbcYr13EFE8n,271400
キセキ,0.641,0.618,0,-4.269,1,0.0259,0.0932,0.0,0.155,0.338,90.032,7ztdl6cnbJgHRdMkKldkts,271160
ノーダウト,0.574,0.936,2,-3.185,1,0.0701,0.0585,0.0,0.336,0.792,149.954,5DMEvbg3gUmiR5HIBWdveV,202395
しるし,0.445,0.489,1,-6.3,1,0.0285,0.0484,5.77e-06,0.0864,0.297,74.025,7dU6ZrD3sT9qyHE5mX5Cjc,431613
115万キロのフィルム,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,278JqkBGkjDovOYAwE8TW7,324633
Pretender,0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,15HNdxGKNCIO9pgaY4n7FU,326843
白日,0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,172fMG26G2OoEzzg0wn26r,276373
everlasting snow,0.45,0.673,0,-7.17,1,0.036,0.105,1.96e-05,0.236,0.512,75.98,1pS8rVJSUQUB5kZOMgXaA2,337067
MR.LONELY,0.641,0.43,0,-9.363,1,0.0276,0.219,0.00146,0.0705,0.328,129.899,6ZFygwOMAj29sLNGcpGyQa,316800
Finale.,0.626,0.289,11,-5.59,1,0.0458,0.0779,0.0,0.149,0.341,85.996,3KvRIvP9kzP2JTljShpSJu,242368
このまま夢で feat. AAAMYYY,0.671,0.778,10,-4.981,1,0.0272,0.0539,3.93e-05,0.0706,0.873,92.996,7mYt61pj41CSwSiOovNzk0,234936
RAIN,0.527,0.742,8,-3.857,1,0.0265,0.205,1e-06,0.303,0.494,97.972,7aCdXnpn7oPN1sz3i78t7x,310293
エイリアンズ - 2018 Remaster,0.549,0.455,3,-6.499,0,0.0263,0.652,0.00247,0.095,0.319,169.8,3qY12xfdjw5TToomM5CH4B,364804
スウィートソウル,0.54,0.527,6,-9.804,0,0.0265,0.421,0.0144,0.0633,0.737,172.023,0A0m9qdLVula6uPhWqU3KW,379027
愛のCoda,0.531,0.738,6,-9.438,0,0.038,0.677,0.0919,0.0956,0.772,96.933,3BhvqCVRh4S9eXReG4NxsO,336067
十四時過ぎのカゲロウ,0.632,0.75,9,-7.168,0,0.0306,0.713,0.000577,0.33,0.82,95.026,4PLlnar1MKCCflTfrP0Tvw,298867
寄り酔い,0.787,0.616,10,-4.833,0,0.0394,0.38,2.63e-06,0.173,0.882,118.008,1yp2xoGJ6PU52Alh42VDMC,209500
水流のロック,0.628,0.692,11,-4.318,1,0.029,0.266,2.66e-05,0.197,0.921,149.852,1yK3XGgMD5bA7hxLRIk1z4,172180
フェイバリット - 2018 Remaster,0.602,0.496,11,-7.515,0,0.0242,0.574,0.0398,0.129,0.464,91.841,4jvTPqKDDA5rxveZ7ht7lW,365141
瞬き,0.423,0.742,7,-2.33,1,0.0323,0.712,0.0,0.37,0.548,119.997,3mc0x8nJ1GCZQDQCknpmll,297830
声の在り処,0.475,0.928,7,-2.818,1,0.108,0.0551,0.0,0.296,0.422,127.845,2ycBMKpi8gmIbbIEBUfDht,263089
Departures 〜あなたにおくるアイの歌〜,0.484,0.458,2,-7.434,1,0.0307,0.411,0.0,0.0834,0.242,143.997,5iScqgKQne0dNnlI8MAytp,255587
All Alone With You,0.298,0.667,11,-4.679,1,0.0416,0.0843,0.00344,0.187,0.36,143.524,2fkSKbhD79K9JRFUSuhzk3,350320
Planetes,0.473,0.454,4,-9.305,1,0.0307,0.944,0.00234,0.0898,0.445,139.888,1GUnIBiLhgEwSQJzGNuUrk,367573
あなたに出会わなければ~夏雪冬花~,0.46,0.635,9,-4.69,1,0.0332,0.267,0.0,0.103,0.277,145.996,76Q4LP5dkZiMVvwLIL1kEc,360480
六等星の夜,0.561,0.5,8,-5.927,1,0.0269,0.35,0.0,0.106,0.311,143.991,73tC9ZhU1iyphrL1ruQQWU,338173
Kaerou,0.589,0.623,9,-5.926,1,0.0326,0.3,0.0,0.127,0.341,91.87,26e8ujjSpBAHhIY2ymLUT1,284480
カメレオンガール,0.609,0.821,0,-4.528,1,0.0245,0.158,0.00282,0.321,0.768,95.584,57L0fBMWUoDhaXAQ7cJXYF,330893
